"","TG_0","TG_1","TG_2","tKO_0","tKO_1","tKO_2","WT_0","WT_1","WT_2"
"Dennd3",6.94951,7.83456,5.78246,9.27103,4.36035,5.58388,8.34732,5.83788,4.50396
"Dennd4a",18.4175,18.0462,20.7042,17.4711,20.8333,21.1657,18.6967,21.6256,16.1454
"Dennd4b",26.0974,27.2084,25.1661,27.8463,24.014,29.7293,27.1332,23.1068,22.5774
"Dennd4c",6.44815,4.74411,7.52419,3.89147,7.20831,12.8574,7.2077,6.02103,7.14193
"Dennd5a",3.82424,4.54504,4.65065,9.94186,2.15809,6.84333,5.62654,5.14238,5.90315
"Dennd5b",2.46832,2.37928,2.48671,4.60033,3.7281,3.79988,4.54435,3.42096,2.119
"Dennd6a",6.195,7.62999,6.67758,3.56866,4.13147,3.27549,8.8137,3.85252,4.88002
"Dennd6b",0.634236,0.445414,0,2.0095,0,0.92214,1.3785,1.44613,0
"Denr",25.197,21.2342,23.5387,23.2243,36.1295,31.9722,20.9104,18.8025,36.0417
"Depdc1a",3.43804,4.86149,7.2345,2.57866,3.28937,7.09996,4.67857,6.95579,7.51332
"Depdc1b",4.003,1.96784,1.58211,1.2683,2.93665,5.2381,0.522028,3.65091,3.83384
"Depdc5",7.24051,4.85964,9.84621,2.63078,7.10685,6.09092,7.57989,4.11074,6.24848
"Depdc7",0,0,0,0,3.37462,2.67524,0,0,0
"Deptor",0.114043,0.0800672,0,0,0.209223,0,0,0,0
"Dera",40.4377,34.3418,34.6903,27.8095,25.2963,27.346,29.4332,35.0227,30.4513
"Derl1",35.785,36.4734,30.6649,37.1246,13.3585,22.1009,27.2568,25.9945,25.9971
"Derl2",6.56858,6.37221,6.90836,14.3793,7.89107,8.21054,6.3123,7.2843,6.25475
"Derl3",16.0163,11.5359,11.3618,7.80704,1.50638,7.16515,6.4267,1.87277,5.05698
"Des",0,0,0,0,0,0,0,0,0
"Desi1",12.3849,13.5297,16.9962,9.81,11.3572,4.50171,15.2538,8.23635,7.76648
"Desi2",6.62294,6.36478,4.13305,2.94512,2.5572,1.01362,3.33355,3.97396,4.9282
"Det1",5.08689,4.87143,3.65546,1.4652,1.69628,4.03419,3.61842,5.27213,5.37811
"Dexi",6.67005,10.4703,18.6086,14.9176,10.0743,3.42277,12.28,5.36769,9.12599
"Dffa",23.9357,22.647,20.5589,27.5811,24.8026,18.1521,13.5645,24.9065,22.2656
"Dffb",16.6569,14.179,17.9546,20.7903,16.6633,19.8148,13.1649,8.63172,10.0138
"Dfna5",0,0,0,0,0,0,0,0,0
"Dfnb59",0,0,0,0,0,0,0,0,0
"Dgat1",4.49936,4.21299,2.37105,3.80151,2.20053,0,3.12937,3.41968,1.23121
"Dgat2",0.909551,0.319376,1.79742,0,0.834074,0,0.593069,0.518469,0
"Dgat2l6",0,0,0,0,0,0,0,0,0
"Dgcr14",12.2836,15.2532,14.7757,16.9244,15.019,13.977,11.6079,12.1774,12.4222
"Dgcr2",11.0832,13.8754,9.02681,11.4509,10.1633,14.7136,14.1398,5.75578,8.24091
"Dgcr6",6.86505,9.00661,11.1689,10.2366,7.40306,0,12.6319,5.48306,8.28443
"Dgcr8",21.8649,19.0375,21.9772,8.07494,14.8725,14.1483,19.7797,17.3303,20.288
"Dgka",22.1297,26.5705,25.3927,19.2252,19.6387,9.34121,19.0843,24.8222,22.7085
"Dgkb",0,0,0,0,0,0,0,0,0
"Dgkd",10.6082,10.2512,13.7521,9.67992,6.22586,11.105,16.3796,11.8037,9.86965
"Dgke",2.32757,2.48462,3.67972,2.35988,3.07357,4.87316,3.15678,2.7597,2.80244
"Dgkeos",0,0,0,0,0,0,0,0,0
"Dgkg",0,0.123447,0,0,0,0,0,0,0
"Dgkh",2.84698,1.3909,3.42457,4.12303,0.477254,0,2.58276,1.4835,1.4243
"Dgki",0.106019,0,0.419019,0,0,0,0,0,0
"Dgkk",0,0,0,0,0,0,0,0,0
"Dgkq",1.50237,1.658,1.69653,2.04005,1.18088,2.80845,2.79892,1.46812,1.1746
"Dgkz",10.7803,15.3099,11.1898,9.02705,5.71176,17.2889,13.9007,10.1253,8.04352
"Dguok",20.1867,20.8866,6.07981,16.2464,16.9902,22.3658,19.5532,24.5534,27.5769
"Dhcr24",36.4208,37.9816,36.5884,28.5592,28.5953,19.127,24.7805,19.1639,22.8323
"Dhcr7",30.1261,27.7919,33.1136,42.9247,35.3092,51.3177,41.8444,40.6455,40.2431
"Dhdds",15.0631,12.3791,21.5337,11.1698,12.3437,11.1834,10.4488,11.6921,12.9357
"Dhdh",3.85857,3.35497,2.17861,2.32865,2.6959,1.60289,2.39616,1.25685,1.00558
"Dhfr",13.0992,15.1822,11.5854,19.1553,24.1924,32.7634,14.0961,17.7535,18.4237
"Dhh",0.215211,0,0,0,0,0,0,0,0
"Dhodh",10.1288,12.0615,14.7946,16.7436,8.88446,7.68348,9.18881,11.5474,9.94182
"Dhps",31.3217,34.1514,32.5772,49.6195,48.3747,35.9524,39.7714,28.1909,37.7796
"Dhrs1",23.4897,33.5072,24.6603,18.606,17.5016,25.6144,18.1882,25.1058,21.5931
"Dhrs11",9.93372,13.4154,13.5904,7.26318,7.00722,9.999,7.97199,6.09807,8.36391
"Dhrs13",2.71886,3.39442,2.38796,3.82861,3.32432,2.63537,1.57584,0,5.78659
"Dhrs2",0,0,0,0,0,0,0,0,0
"Dhrs3",3.25791,3.65368,8.02367,51.4862,57.6193,59.0558,15.0467,22.2498,15.4051
"Dhrs4",23.4974,22.8857,24.7845,71.4101,20.6969,38.2342,14.7189,24.2893,28.2928
"Dhrs7",7.60658,5.34175,10.0212,0,12.4006,14.746,12.1241,12.5261,5.78186
"Dhrs7b",7.92922,10.1689,10.9006,17.4772,10.1171,6.01481,9.89096,11.7916,11.7928
"Dhrs7c",0,0,0,0,0,0,0,0,0
"Dhrs9",0,0,0,0,0,0,0,0,0
"Dhrsx",0,0,0,0,0,0,0,0,0
"Dhtkd1",0,0,0,0,0.512868,0,0,0,0
"Dhx15",131.069,112.696,117.38,96.9691,131.812,147.849,109.006,155.736,134.722
"Dhx16",27.4812,25.4589,25.9982,30.5674,17.6941,20.403,26.6879,21.6644,19.6
"Dhx29",12.919,12.7691,15.6017,12.1281,14.4796,8.3482,12.7917,11.7282,10.4746
"Dhx30",25.3119,22.6555,23.6651,22.8203,17.9367,25.5131,20.6979,22.2056,24.9899
"Dhx32",5.2205,4.93833,5.74017,6.62044,6.4111,4.55702,4.8739,6.74953,5.39287
"Dhx33",9.08358,9.60178,8.51266,4.74725,8.93092,9.8031,8.54854,8.9679,10.3782
"Dhx34",4.66156,6.72954,7.1319,7.38481,1.42488,0,4.72819,5.31862,3.18897
"Dhx35",8.63624,11.0625,10.3813,11.749,13.0353,10.7829,10.5588,9.65686,8.67809
"Dhx36",19.8223,20.7099,19.2965,17.3254,30.803,31.5178,18.8464,25.8268,23.7809
"Dhx37",26.5026,23.0992,23.8486,22.492,19.5295,15.4821,16.9723,12.949,15.3785
"Dhx38",21.6194,19.861,18.0131,22.9563,20.1469,17.3308,22.555,17.5862,17.2682
"Dhx40",9.65936,13.0095,15.1661,8.38473,20.3849,18.4689,12.0789,22.9293,18.647
"Dhx57",6.78803,7.11712,7.03062,6.26232,5.79996,6.89692,5.98448,6.77482,5.40851
"Dhx58",92.344,75.2151,94.1597,32.0636,40.9872,33.1058,59.3877,48.0718,60.5766
"Dhx8",21.5135,24.1737,25.9559,29.4176,21.1819,39.5106,28.0555,27.6246,29.125
"Dhx9",137.461,127.924,137.806,119.846,176.728,176.049,119.049,160.207,181.859
"Diablo",12.8738,15.0681,20.1405,11.8968,30.4975,42.1148,18.1877,24.4614,18.3479
"Diap1",45.3214,54.2495,54.708,31.8315,60.6005,78.8786,47.4573,57.7775,50.5541
"Diap2",2.82871,3.25798,2.45959,1.43399,2.90525,5.92239,3.54134,3.61187,4.10247
"Diap3",13.0777,14.8133,13.8945,11.584,23.2113,18.4009,11.003,18.9172,13.8527
"Dicer1",4.92742,5.02109,4.20044,4.89786,4.25274,7.58558,4.28388,4.73635,5.81638
"Dido1",14.481,15.122,12.8761,16.4211,17.1512,22.115,20.6147,18.2964,18.63
"Diexf",8.45674,7.59219,5.16862,5.52457,11.1927,12.9294,7.95861,8.54782,8.94629
"Dimt1",12.5288,14.5247,18.0779,13.862,14.5893,13.8789,9.33637,19.4981,18.2303
"Dio1",0,0,0,0,0,0,0,0,0
"Dio2",0,0,0,0,0,0,0,0,0
"Dio3",0,0,0,0,0,0,0.729316,0,0
"Dio3os",0,0,0,0,0,0,0,0,0
"Dip2a",0.909006,1.17037,1.19756,1.92005,2.22286,2.64328,1.18543,1.03632,0.310926
"Dip2b",13.3746,14.579,12.6877,17.6299,14.719,16.8027,14.017,11.881,13.323
"Dip2c",0.536308,0.585889,0.235518,0.377606,0.874318,1.55952,0.621685,0.407614,0.326124
"Diras1",0.171443,0,0,0,0,0,0,0,0
"Diras2",0.11241,0.157887,0,0,0,0,0,0,0
"Dirc2",0.535451,0.451246,0,1.35721,1.96407,0,1.11724,0.244178,0
"Dis3",22.3746,19.1535,18.8375,32.719,36.4223,51.973,24.8622,25.9611,34.2359
"Dis3l",7.18443,4.46332,5.62029,7.004,3.54752,3.72149,5.04493,4.21503,7.56136
"Dis3l2",17.0457,15.4291,20.7644,28.2478,19.855,15.2771,19.7297,15.972,22.6536
"Disc1",0.844785,0.593252,0.834715,0,0,0,0,0,0
"Disp1",0.693801,0.27823,0.803751,1.28871,0.372916,0,0.256302,0.225779,0.813951
"Disp2",0,0,0,0,0,0,0,0,0
"Dixdc1",0,0,0,0,0,0,0,0,0
"Dkc1",60.5532,49.3191,67.9742,54.4915,97.9139,90.6453,61.6784,73.9359,94.3696
"Dkk1",0,0,0,0,0,0,0,0,0
"Dkk2",0,0,0,0,0,0,0,0,0
"Dkk3",1.32935,0.414921,0.583778,0,0,0,0,0,0
"Dkk4",0,0,0,0,0,0,0,0,0
"Dkkl1",3.31963,3.72984,5.2481,4.20714,0,0,1.73164,1.51383,0.908387
"Dlat",20.0617,22.0301,19.7024,23.1139,22.7453,30.7595,19.0272,21.6239,19.6298
"Dlc1",0,0.109496,0,0,0,0,0,0,0
"Dld",60.4013,48.8834,52.3598,56.9142,57.654,90.105,48.6083,77.3084,67.8949
"Dlec1",0,0,0,0,0,0,0,0,0
"Dleu2",0.936634,0.87702,0,0,0,2.72361,0,0.711877,0
"Dleu7",0,0,0,0,0,0,0,0,0
"Dlg1",7.84413,8.72833,4.6363,11.1097,5.86762,5.46694,7.99331,6.02397,8.41097
"Dlg2",0,0,0,0,0,0,0,0,0
"Dlg3",1.68624,3.07245,1.6281,4.71722,2.73059,1.29879,3.88318,3.05525,1.6328
"Dlg4",0.597546,2.72969,1.18085,0,0,0,1.16888,0.340618,0.204391
"Dlg5",0.122711,0.0860262,0,0,0,0,0,0,0
"Dlgap1",0.456565,0,0.360897,0.578634,0,0,0,0,0
"Dlgap2",0,0,0,0,0,0,0,0,0
"Dlgap3",0.257832,0,0,0.816909,0,0,0,0,0.176383
"Dlgap4",8.44606,5.32347,7.11528,6.53275,1.89075,2.99781,6.00935,4.30949,4.70174
"Dlgap5",30.1996,33.1754,30.0063,20.3128,34.0368,41.2101,31.6825,45.7774,46.1667
"Dlk1",0.788576,0.501017,0,0,0,1.05525,0.946474,0.827396,0.661944
"Dlk2",0,0,0,0,0,0,0,0,0
"Dll1",0.866733,1.01448,0.570934,0.915379,0.529873,0,0.376767,0.658749,0.592933
"Dll3",0,0,0,0,0,0,0.619667,0,0
"Dll4",0.4303,0.402921,0.566894,0,0,0,0.748201,0,0.196246
"Dlst",66.671,80.1196,72.5178,66.7676,64.6368,64.9758,43.1172,53.8481,51.4508
"Dlx1",0.180819,0,0,0,0,0,0,0,0
"Dlx1as",0,0,0,0,0,0,0,0,0
"Dlx2",0,0.288173,0,0,0,0,0,0,0
"Dlx3",0,0,0,0,0,0,0,0,0
"Dlx4",0,0,0,0,0,0,0,0,0
"Dlx5",0,0,0,0,0,0,0,0,0
"Dlx6",0,0,0,0,0,0,0,0,0
"Dlx6as2",0,0,0,0,0,0,0,0,0
"Dlx6os1",0,0,0,0,0,0,0,0,0
"Dmap1",30.5539,28.4427,35.1043,27.0157,29.9732,30.9931,25.019,14.5813,23.3325
"Dmbt1",0,0,0,0,0,0,0,0,0
"Dmbx1",0,0,0,0,0,0,0,0,0
"Dmc1",0,0.353253,0,0,0,0,0.602473,0,0
"Dmd",0.136598,0.143897,0.404909,0,0,0,0,0.155729,0.186894
"Dmgdh",0,0,0,0,0,0,0,0,0
"Dmkn",0,0,0,0,0,0,0,0,0
"Dmp1",0,0,0,1.15431,0,0,0,0,0
"Dmpk",0.577177,0.810762,1.52115,0,0,0,0,0,0.263111
"Dmr",0,0,0,0,0,0,0,0,0
"Dmrt1",0,0.319376,0,0,0,0,0,0,0
"Dmrt2",0,0,0,0,0,0,0.569193,0,0
"Dmrt3",0,0,0,0,0,0,0,0,0
"Dmrta1",0,0,0,0,0,0,1.25603,0,0
"Dmrta2",0,0,0,0,0,0,0,0,0
"Dmrtb1",0,0,0,0,0,0,0,0,0
"Dmrtc1a",0,0,0,0,0,0,0,0,0
"Dmrtc1b",0,0,0,0,0,0,0,0,0
"Dmrtc1c2",0,0,0,0,0,0,0,0,0
"Dmrtc2",0,0,0,0,0,0,0,0,0
"Dmtf1",2.50349,2.03588,1.56224,3.55034,5.13786,5.74697,8.04559,3.60541,2.68299
"Dmtn",0.250655,0.17595,0,0,0,0,0.981945,0.285813,0
"Dmwd",1.6081,0.564665,2.3834,0,0,0,1.04856,0,0
"Dmxl1",4.85194,4.36156,4.44893,5.16525,7.68841,10.8356,5.77057,7.43431,5.41697
"Dmxl2",0.0447684,0.314404,0.176939,0,0.164214,0,0,0,0
"Dna2",7.72775,10.6872,10.8074,13.5606,12.6466,12.4457,7.442,8.13237,8.29585
"Dnaaf1",0.177921,0,0,0,0,0,0,0,0
"Dnaaf2",3.25043,6.98238,6.04553,15.7508,4.90939,6.6719,7.97904,10.899,9.41772
"Dnaaf3",0.234479,0.988007,0.926735,1.48583,0.860084,0,0.611564,0,0
"Dnah1",0.0735813,0.0516755,0,0,0,0,0.0959569,0,0.201349
"Dnah10",0,0,0,0,0,0,0,0,0
"Dnah11",0,0,0,0,0.123276,0,0,0,0
"Dnah17",0.190431,0.0891588,0,0,0,0,0,0.144735,0
"Dnah2",0,0,0,0,0,0,0,0,0
"Dnah5",0,0,0,0,0,0,0,0,0
"Dnah6",0.0748875,0,0,0,0,0,0,0,0
"Dnah7a",0.0386194,0,0,0,0,0,0,0,0
"Dnah7b",0,0,0,0,0,0,0,0,0
"Dnah8",0.226897,0.227639,0.384329,0.410797,0.713376,0.282766,0.253624,0.443442,0.177395
"Dnah9",0,0,0,0,0,0,0,0,0
"Dnaic1",0.203558,0,0,0,0,0,0,0,0
"Dnaic2",0,0,0,1.10633,0,0,0,0,0
"Dnaja1",43.4592,34.4626,44.2268,51.1204,94.5066,102.471,53.3943,72.9136,84.6222
"Dnaja2",84.4659,80.1668,80.3162,70.5442,95.9296,78.6177,82.9591,89.4463,105.654
"Dnaja3",28.4334,22.2808,29.3227,31.721,27.1756,20.9614,29.246,25.5672,26.041
"Dnaja4",0.332492,0,0,0,0.609803,0,0,0,0
"Dnajb1",25.7589,31.1017,29.4705,42.9546,33.1527,31.5383,31.2346,25.7601,27.2054
"Dnajb11",97.015,95.4239,100.7,101.425,82.674,71.2392,76.6767,87.8861,78.6516
"Dnajb12",26.6701,35.3779,21.0818,33.8004,34.7832,36.1915,34.0074,28.3784,29.5975
"Dnajb13",0,0,1.95561,0,0,0,1.29053,0,1.35398
"Dnajb14",1.69504,1.58716,0,0,1.03625,4.92897,1.47366,1.93244,0.386527
"Dnajb2",5.69196,8.23267,12.0792,7.08319,4.01603,0,3.53373,4.64753,5.73481
"Dnajb3",0,0,0,0,0,0,0,0,0
"Dnajb4",2.58199,3.61548,4.68823,0,3.64206,0,2.58952,5.43437,2.9886
"Dnajb5",3.09584,4.34826,3.49593,7.00629,3.24451,15.4326,6.34428,5.54626,2.11787
"Dnajb6",55.0938,59.8434,50.0761,44.8316,81.8,50.7818,58.1628,81.0974,79.2969
"Dnajb7",0,0,0,0,0,0,0,0,0
"Dnajb8",0,0,0,0,0,0,0,0,0
"Dnajb9",5.88273,6.68869,13.286,12.4258,25.6884,9.775,11.6901,18.5231,14.5645
"Dnajc1",6.00827,6.02789,6.78477,3.02167,4.19787,4.05716,1.98993,4.69079,6.0023
"Dnajc10",6.77525,7.47708,8.6072,6.1333,13.7574,12.6653,6.31111,10.4828,11.2563
"Dnajc11",28.0406,20.5277,14.7767,22.6146,26.8046,17.7902,15.9567,13.9496,28.5996
"Dnajc12",2.14207,4.81851,1.69323,6.21145,0,0,1.11738,3.90738,5.27541
"Dnajc13",13.6816,10.8313,15.4849,10.246,14.1431,19.5306,9.24546,13.4708,12.2526
"Dnajc14",2.6618,2.43827,2.28702,8.06691,4.24507,5.04794,3.62216,3.16654,1.1084
"Dnajc15",75.0632,54.1731,78.2889,105.702,110.9,127.327,57.1021,76.0677,106.981
"Dnajc16",6.2791,4.58609,1.98536,11.141,7.83094,6.57319,6.22328,4.29512,4.46737
"Dnajc17",19.637,36.5026,25.1097,7.3197,29.6594,5.03841,15.0638,23.7042,19.7555
"Dnajc18",1.12646,1.45034,1.85505,2.37936,3.7876,0.818899,4.16218,3.21056,1.66966
"Dnajc19",52.9308,59.6939,75.954,30.4447,40.1247,40.0126,76.1013,63.9917,71.2741
"Dnajc2",48.7467,52.4199,50.1726,62.7445,72.6401,81.9489,71.5165,74.0986,88.2325
"Dnajc21",17.8704,16.2618,21.8852,22.3291,27.6971,26.3484,24.2894,13.7735,25.4835
"Dnajc22",0,0,0,0,0,0,0,0,0
"Dnajc24",11.4209,12.3606,22.1731,10.327,25.9133,20.3919,15.8583,26.6494,25.586
"Dnajc25",4.58682,4.42911,1.13304,0,3.15464,5.00171,5.23393,2.61461,1.17669
"Dnajc27",0.619899,0.435346,0.40834,0.654692,0.757944,0.901295,0.269469,1.17787,0.424074
"Dnajc28",0.147332,0,0,0,1.62127,0,1.15273,1.00772,0
"Dnajc3",17.8468,16.5364,19.2036,21.9076,18.1652,19.563,16.572,21.9442,20.8384
"Dnajc30",24.7876,27.9878,17.2886,30.7986,19.6108,25.4397,34.2268,7.75744,12.6348
"Dnajc4",5.83494,8.19488,0,4.62183,5.35074,0,3.80465,1.66304,5.98754
"Dnajc5",13.8249,15.8216,22.6924,22.921,13.5092,6.77127,17.467,14.3805,17.3216
"Dnajc5b",0,0,0,0,0,0,0,0,0
"Dnajc5g",0,0,0,0,0,0,0,0,0
"Dnajc6",0,0,0,0,0,0,0.246443,0.21541,0
"Dnajc7",90.0935,76.2965,88.1469,97.9487,106.917,90.5375,88.6937,100.698,103.628
"Dnajc8",46.1814,48.372,64.9661,49.6001,91.8761,129.738,73.4947,84.7744,106.023
"Dnajc9",76.9276,84.24,79.8756,107.409,125.544,127.962,81.6169,105.539,105.253
"Dnal1",0.0838883,0.117827,0,0.53158,0,0,0.218796,0,0
"Dnal4",4.02145,3.08084,1.44492,0,0,0,3.81407,4.16789,6.00237
"Dnali1",0,0,0,0,0,0,0,0,0
"Dnase1",0,0,0,0,0,0,0,0,0
"Dnase1l1",2.94604,2.75861,4.22852,4.14852,1.2007,0,0,2.23911,4.92651
"Dnase1l2",1.35104,3.16257,0,0,0,0,0,0,1.23233
"Dnase1l3",9.32852,12.3538,7.37386,2.5334,4.88824,5.81275,6.95157,6.38102,4.92299
"Dnase2a",14.5464,15.8906,14.0536,26.6288,23.7142,28.1993,16.0189,16.9522,23.8828
"Dnase2b",0,0,0,0,0,0,0,0,0
"Dnd1",0,0.516308,0,0,1.3484,0,0,0,0
"Dner",0,0,0,0,0,0,0,0,0
"Dnlz",5.16816,7.46758,4.73796,2.17218,1.88729,7.47599,8.57413,2.34476,3.98524
"Dnm1",0,0,0,0,0,0,0.339333,0,0
"Dnm1l",22.6931,19.7042,16.6416,10.9723,20.3561,23.3955,23.1919,26.8248,23.3339
"Dnm2",60.5324,65.4298,66.5691,48.5544,38.9029,65.2464,51.8549,66.7705,51.6413
"Dnm3",0.531056,0.149178,0,0,0,0,0,0,0
"Dnm3os",0,0,0.238444,0,0,0,0,0,0
"Dnmbp",1.26247,0.997445,2.49485,2,1.44714,2.065,0.617393,0.899556,0.755702
"Dnmt1",151.553,138.983,121.973,104.065,106.519,136.18,95.7627,118.718,108.789
"Dnmt3a",6.17044,5.86738,5.79756,1.55642,2.88328,5.60218,5.28094,5.04948,4.01401
"Dnmt3aos",0,0,0,0,0,0,0,0,0
"Dnmt3b",3.00846,2.61253,4.41111,1.57146,4.20855,1.08161,0.323242,3.56674,2.37522
"Dnmt3l",0,0,0,0,1.86031,0,0,0,0
"Dnpep",61.9014,74.8063,51.084,24.974,43.8713,35.2307,36.5037,32.1818,43.2737
"Dnph1",10.8156,5.06346,6.10666,6.52721,15.1132,22.4645,8.05972,12.9175,13.3886
"Dntt",0,0.350082,0,0,0,0,0,0,0
"Dnttip1",27.7074,29.5002,21.1952,31.1504,19.6709,15.5941,15.1526,17.3225,17.7318
"Dnttip2",33.8708,31.8146,29.2837,14.7559,21.7421,25.8542,18.7725,31.3744,38.5219
"Doc2a",0,0,0,0,0,0,0,0,0
"Doc2b",0,0.161908,0,0,0,0,0,0,0
"Doc2g",1.1692,0.547384,0,0,0,0,1.01649,1.77726,0
"Dock1",0,0,0,0,0,0,0,0,0
"Dock10",79.894,71.3036,87.7178,83.4026,118.389,122.238,118.536,153.903,114.652
"Dock11",22.645,20.3603,22.8026,26.9626,35.1829,41.5225,26.5216,41.2736,30.7856
"Dock2",107.86,101.666,109.687,90.7826,96.8461,83.1003,83.1437,83.8019,80.8684
"Dock3",0.0526035,0,0,0,0,0,0.1372,0,0
"Dock4",0.0592791,0.0832621,0.23429,0,0,0.517129,0.154611,0,0
"Dock5",0.184004,0.258448,0.18181,0.291497,0.168734,0.802589,0,0,0
"Dock6",1.83271,1.33857,2.02817,0.929077,1.3445,1.91855,1.33842,0.835758,0.601806
"Dock7",0.34022,1.05162,0.807003,2.58806,1.24835,1.18756,0.5325,0.15506,1.21066
"Dock8",49.0738,46.8125,46.0069,41.9284,46.069,49.1702,39.6285,41.7681,45.5164
"Dock9",3.59775,4.49302,4.8455,3.51714,2.48826,3.22797,2.23127,2.20605,1.09692
"Dohh",38.2497,34.2349,34.0885,38.0203,27.5103,32.7134,29.3419,28.2162,43.0981
"Dok1",26.1547,31.8686,21.8393,27.6484,15.9995,20.2939,14.4102,18.5649,22.2835
"Dok2",1.2299,0.431858,0,1.9484,9.02272,2.6823,0,0,0.841377
"Dok3",10.7434,15.0894,5.4789,6.58824,7.62728,0,12.6546,10.2726,6.63835
"Dok4",0.193987,0.272464,0,0,0,0,0.505953,0.884622,0
"Dok5",0,0,0,0,0,0,0,0,0
"Dok6",0,0,0,0,0,0,0,0,0
"Dok7",0,0,0,0,0,0,0,0,0
"Dolk",4.60089,2.38079,0.957062,1.53446,0.88823,0,1.26315,2.20853,3.64444
"Dolpp1",5.8291,6.19539,8.08852,7.20444,4.4503,4.68205,5.69819,7.25851,7.15553
"Donson",16.0361,12.6502,22.5737,18.0962,20.1444,13.4144,12.6048,17.5308,14.7273
"Dopey1",3.13463,2.56832,2.47781,2.64845,4.02432,5.46907,2.8615,4.64575,4.57474
"Dopey2",4.54252,8.49752,5.97875,2.49108,5.55024,4.00096,7.89248,6.89704,1.4343
"Dos",0.602854,1.69349,0,0,0,0,0.786177,0,0
"Dot1l",14.6818,15.2576,17.4416,10.7555,9.96138,7.40336,15.2728,13.5452,7.08292
"Doxl2",0,0,0,0,0,0,0,0,0
"Dpagt1",12.0364,11.9108,4.32471,5.20035,6.02051,11.932,4.99437,7.48483,5.61418
"Dpcd",11.7338,8.52431,14.3925,12.8198,8.90494,10.5891,5.27656,9.22568,12.7327
"Dpcr1",0,0,0,0,0,0,0,0,0
"Dpep1",0,0,0,0,0,0,0,0,0
"Dpep2",0.297849,0.418338,0,0,0,0,0,0,0
"Dpep3",0,0,0,0,0,0,0,0,0
"Dpf1",0.224432,0.315225,0,1.42217,0,0,0,0.51173,0.307069
"Dpf2",24.1087,19.1394,21.8978,30.3645,19.7739,9.14394,21.4807,21.169,25.4051
"Dpf3",0,0.498431,0,0,0,0,0,0,0
"Dph1",29.3132,20.6437,24.9622,21.4491,12.5856,18.4942,14.3959,14.529,12.4555
"Dph2",14.8366,19.9939,14.2635,25.4097,12.5023,19.2394,19.8712,16.0002,19.4765
"Dph3",10.8594,5.30219,3.72774,11.9579,20.7637,24.6931,9.84366,10.7568,7.74569
"Dph5",25.5926,26.8393,29.6707,19.4609,27.5368,11.9072,16.0201,29.566,21.4764
"Dph6",12.6844,8.90795,10.3214,9.45622,10.9476,8.13631,14.5955,13.1849,15.3131
"Dph7",5.93071,4.99801,10.0457,3.22127,6.83705,2.95642,5.30345,6.1818,8.11442
"Dpm1",16.4889,14.3964,26.42,9.88382,13.0773,19.4382,18.0161,15.7499,19.5115
"Dpm2",28.2467,21.8191,33.492,8.94961,36.2637,24.6413,25.7854,30.5926,20.2898
"Dpm3",157.41,172.418,130.648,209.469,69.2869,96.1231,102.639,104.085,77.5329
"Dpp10",0,0,0,0,0,0,0,0,0
"Dpp3",54.8413,55.1327,40.8263,64.2667,63.3797,85.1972,54.3734,52.2445,53.9629
"Dpp4",19.1672,17.8208,17.6058,6.84376,14.8512,12.9511,10.2111,19.0825,14.7758
"Dpp6",0,0.151064,0,0,0,0,0,0,0
"Dpp7",5.77052,5.40324,10.1364,12.1888,8.23149,2.79666,5.85301,6.57872,7.45663
"Dpp8",8.99024,11.1925,9.28685,14.2422,9.36841,13.3683,11.9906,12.1129,10.6231
"Dpp9",22.406,25.1369,25.6199,33.9327,18.6084,11.0639,20.2148,19.5999,19.8589
"Dppa1",0,0,0,0,0,0,0,0,0
"Dppa2",0,0,0,0,0,0,0,0,0
"Dppa3",0,0,0,0,0,0,0,0,0
"Dppa4",0.395941,0.556139,0,0,0,0,0,0,0
"Dppa5a",0,0,0,0,0,0,0,0,0
"Dpt",0,0,0,0,0,0,0,0,0
"Dpy19l1",6.6771,6.34849,7.71401,1.95282,2.63761,1.79226,2.67925,2.57646,2.67042
"Dpy19l2",0,0,0,0,0,0,0,0,0
"Dpy19l3",2.99547,2.80492,1.97318,1.5818,2.97581,1.08881,1.13936,3.27271,1.96383
"Dpy19l4",3.51751,2.58791,5.95814,1.06141,4.30083,1.46121,4.36872,2.67344,1.60422
"Dpy30",66.1412,63.759,87.8849,117.422,67.9702,88.9079,82.1615,106.917,74.7917
"Dpyd",0,0,0,0,0,0,0.287025,0,0
"Dpys",0,0,0,0,0,0,0,0,0
"Dpysl2",34.045,34.2003,22.6439,57.25,53.3465,65.3583,40.231,50.7461,41.4551
"Dpysl3",0,0,0,0,0,0,0.230144,0,0
"Dpysl4",0,0,0,0,0,0,0,0,0
"Dpysl5",0.0967148,0.271685,0,0,0,0,0,0,0
"Dqx1",0.157645,0.221421,0,0,1.1565,0,0.411167,0.359448,0.43138
"Dr1",24.2873,21.8323,21.758,32.8326,30.8837,16.9499,27.8722,25.1046,31.4578
"Dram1",0.53663,0,0.706978,0,0,0,0,0,0
"Dram2",3.9189,2.34302,1.46251,5.22799,3.78283,7.19725,5.39029,8.03017,4.5609
"Drap1",111.557,95.9762,106.188,148.044,89.9808,86.6187,115.776,91.8903,106.284
"Draxin",0,0,0,0,0,0,0,0,0
"Drc1",0,0,0,0,0,0,0,0,0
"Drd1a",0,0,0,0,0,0,0,0,0
"Drd2",0,0,0,0,0,0,0,0,0
